gene,ensg,tumor_median_log2,normal_median_log2,fc_log2,gtex_positive_count,tumor_positive_rate,tsi,tsi_norm,rank
TM4SF4,ENSG00000169903,-3.171,-3.308,0.14,3447,0.248,0.001,0.2689075627992374,968
PTCHD4,ENSG00000244694,-2.114,-2.466,0.35,4465,0.208,0.001,0.2689075627992374,969
KLRC1,ENSG00000134545,-1.732,-2.315,0.58,4533,0.172,0.001,0.2689075627992374,970
MS4A1,ENSG00000156738,-1.355,-1.639,0.28,5438,0.344,0.001,0.2689075627992374,971
SIGIRR,ENSG00000185187,5.291,5.191,0.1,7832,1.0,0.001,0.2689075627992374,972
BTN2A2,ENSG00000124508,2.703,2.616,0.09,7831,0.987,0.001,0.2689075627992374,973
CNR2,ENSG00000188822,-5.574,-6.506,0.93,1011,0.031,0.001,0.2689075627992374,974
HLA-E,ENSG00000204592,8.155,8.072,0.08,7835,1.0,0.001,0.2689075627992374,975
LGR4,ENSG00000205213,3.287,3.186,0.1,7532,0.967,0.001,0.2689075627992374,976
LHFPL1,ENSG00000182508,-3.308,-4.035,0.73,2596,0.081,0.001,0.2689075627992374,977
EPHA8,ENSG00000070886,-5.012,-5.574,0.56,2066,0.076,0.001,0.2689075627992374,978
CCR3,ENSG00000183625,-3.626,-4.608,0.98,2236,0.029,0.001,0.2689075627992374,979
CSF2RB,ENSG00000100368,0.986,0.808,0.18,7270,0.704,0.001,0.2689075627992374,980
LRFN2,ENSG00000156564,-5.012,-5.574,0.56,1989,0.067,0.001,0.2689075627992374,981
IL1RAPL2,ENSG00000189108,-4.608,-5.574,0.97,1670,0.047,0.001,0.2689075627992374,982
SSTR3,ENSG00000278195,-4.608,-5.574,0.97,2379,0.06,0.001,0.2689075627992374,983
GPR37L1,ENSG00000170075,-3.458,-3.816,0.36,3133,0.096,0.001,0.2689075627992374,984
DPEP2,ENSG00000167261,0.679,0.614,0.06,7540,0.681,0.001,0.2689075627992374,985
DUOX2,ENSG00000140279,-1.552,-1.685,0.13,5212,0.377,0.001,0.2689075627992374,986
CPM,ENSG00000135678,2.783,2.701,0.08,7777,0.952,0.001,0.2689075627992374,987
RELT,ENSG00000054967,2.05,1.979,0.07,7826,0.924,0.001,0.2689075627992374,988
GPR153,ENSG00000158292,2.173,2.029,0.14,7724,0.893,0.001,0.2689075627992374,989
EGF,ENSG00000138798,-0.959,-1.214,0.25,5835,0.361,0.001,0.2689075627992374,990
SLC16A6,ENSG00000108932,0.016,-0.199,0.22,6941,0.504,0.001,0.2689075627992374,991
F2RL3,ENSG00000127533,0.058,-0.103,0.16,6321,0.512,0.001,0.2689075627992374,992
SLC22A5,ENSG00000197375,2.816,2.712,0.1,7806,0.987,0.001,0.2689075627992374,993
LINGO4,ENSG00000213171,-3.626,-4.293,0.67,2649,0.069,0.001,0.2689075627992374,994
RAET1G,ENSG00000203722,-0.941,-1.283,0.34,6049,0.335,0.001,0.2689075627992374,995
CD300E,ENSG00000186407,-1.355,-1.639,0.28,5553,0.242,0.001,0.2689075627992374,996
ABCA4,ENSG00000198691,-1.994,-2.178,0.18,5071,0.201,0.001,0.2689075627992374,997
SLC2A5,ENSG00000142583,0.964,0.783,0.18,7561,0.683,0.001,0.2689075627992374,998
SLC28A1,ENSG00000156222,-4.293,-4.608,0.31,1914,0.136,0.001,0.2689075627992374,999
TMEM145,ENSG00000167619,-1.181,-1.43,0.25,6177,0.32,0.001,0.2689075627992374,1000
OTOA,ENSG00000155719,-2.548,-4.035,1.49,2327,0.048,0.001,0.2689075627992374,1001
DUOX1,ENSG00000137857,1.368,1.19,0.18,7707,0.725,0.001,0.2689075627992374,1002
AQP5,ENSG00000161798,-0.808,-0.997,0.19,5532,0.44,0.001,0.2689075627992374,1003
FZD7,ENSG00000155760,2.583,2.509,0.07,7476,0.913,0.001,0.2689075627992374,1004
TMEM235,ENSG00000204278,-9.966,-9.966,0.0,1520,0.054,0.0,0.2605042014617612,1005
OR1E1,ENSG00000180016,-9.966,-9.966,0.0,755,0.001,0.0,0.2605042014617612,1006
FGFR2,ENSG00000066468,3.467,3.504,-0.04,6970,0.922,-0.0,0.2605042014617612,1007
CDH9,ENSG00000113100,-9.966,-9.966,0.0,1063,0.051,0.0,0.2605042014617612,1008
PCDHA10,ENSG00000250120,-2.388,-2.315,-0.07,4470,0.2,-0.0,0.2605042014617612,1009
OR5B3,ENSG00000172769,-9.966,-9.966,0.0,4,0.0,0.0,0.2605042014617612,1010
GPR119,ENSG00000147262,-9.966,-9.966,0.0,150,0.006,0.0,0.2605042014617612,1011
SLC46A2,ENSG00000119457,-3.308,-3.308,0.0,3605,0.084,0.0,0.2605042014617612,1012
FCRL1,ENSG00000163534,-4.035,-4.293,0.26,2499,0.085,0.0,0.2605042014617612,1013
CHRNB3,ENSG00000147432,-9.966,-9.966,0.0,824,0.002,0.0,0.2605042014617612,1014
PROKR2,ENSG00000101292,-9.966,-9.966,0.0,443,0.011,0.0,0.2605042014617612,1015
SLC32A1,ENSG00000101438,-9.966,-9.966,0.0,1463,0.048,0.0,0.2605042014617612,1016
OR10R2,ENSG00000198965,-9.966,-9.966,0.0,28,0.009,0.0,0.2605042014617612,1017
OR5M11,ENSG00000255223,-9.966,-9.966,0.0,98,0.002,0.0,0.2605042014617612,1018
LRTM1,ENSG00000144771,-9.966,-9.966,0.0,348,0.008,0.0,0.2605042014617612,1019
OR2T35,ENSG00000177151,-9.966,-9.966,0.0,50,0.0,0.0,0.2605042014617612,1020
CD59,ENSG00000085063,7.894,7.934,-0.04,7835,1.0,-0.0,0.2605042014617612,1021
MRGPRD,ENSG00000172938,-9.966,-9.966,0.0,1750,0.002,0.0,0.2605042014617612,1022
PLET1,ENSG00000188771,-9.966,-9.966,0.0,182,0.0,0.0,0.2605042014617612,1023
OR13J1,ENSG00000168828,-5.574,-4.608,-0.97,2215,0.001,-0.0,0.2605042014617612,1024
OR10AD1,ENSG00000172640,-5.574,-3.626,-1.95,3147,0.001,-0.0,0.2605042014617612,1025
SLC6A19,ENSG00000174358,-9.966,-9.966,0.0,811,0.096,0.0,0.2605042014617612,1026
OR9G1,ENSG00000174914,-9.966,-9.966,0.0,22,0.001,0.0,0.2605042014617612,1027
CMKLR1,ENSG00000174600,1.374,1.423,-0.05,7749,0.796,-0.0,0.2605042014617612,1028
SLC34A3,ENSG00000198569,-4.035,-4.035,0.0,2365,0.021,0.0,0.2605042014617612,1029
CDH15,ENSG00000129910,-3.308,-3.308,0.0,3450,0.096,0.0,0.2605042014617612,1030
OR51G1,ENSG00000278870,-9.966,-9.966,0.0,10,0.0,0.0,0.2605042014617612,1031
UNC5D,ENSG00000156687,-5.574,-5.574,0.0,2181,0.127,0.0,0.2605042014617612,1032
SPRN,ENSG00000203772,0.624,0.633,-0.01,7782,0.755,-0.0,0.2605042014617612,1033
MC2R,ENSG00000185231,-9.966,-9.966,0.0,469,0.008,0.0,0.2605042014617612,1034
OR4D11,ENSG00000176200,-9.966,-9.966,0.0,12,0.0,0.0,0.2605042014617612,1035
VSTM5,ENSG00000214376,-1.994,-2.114,0.12,5239,0.153,0.0,0.2605042014617612,1036
SLCO1B1,ENSG00000134538,-9.966,-9.966,0.0,211,0.046,0.0,0.2605042014617612,1037
CFC1,ENSG00000136698,-9.966,-9.966,0.0,2420,0.104,0.0,0.2605042014617612,1038
OR4A47,ENSG00000237388,-9.966,-9.966,0.0,42,0.001,0.0,0.2605042014617612,1039
DPEP3,ENSG00000141096,-4.608,-4.035,-0.57,2430,0.041,-0.0,0.2605042014617612,1040
OR5K2,ENSG00000231861,-5.574,-2.548,-3.03,4851,0.0,-0.0,0.2605042014617612,1041
PRLHR,ENSG00000119973,-9.966,-9.966,0.0,1330,0.061,0.0,0.2605042014617612,1042
OR56A3,ENSG00000184478,-9.966,-9.966,0.0,121,0.015,0.0,0.2605042014617612,1043
OR4C11,ENSG00000172188,-9.966,-9.966,0.0,7,0.0,0.0,0.2605042014617612,1044
C11orf87,ENSG00000185742,-6.506,-6.506,0.0,1475,0.056,0.0,0.2605042014617612,1045
ADCY7,ENSG00000121281,2.23,2.221,0.01,7823,0.88,0.0,0.2605042014617612,1046
OR13G1,ENSG00000197437,-9.966,-9.966,0.0,209,0.0,0.0,0.2605042014617612,1047
OR2T6,ENSG00000198104,-9.966,-9.966,0.0,20,0.0,0.0,0.2605042014617612,1048
OR4S2,ENSG00000174982,-9.966,-9.966,0.0,9,0.0,0.0,0.2605042014617612,1049
OR9I1,ENSG00000172377,-9.966,-9.966,0.0,14,0.0,0.0,0.2605042014617612,1050
SLC22A4,ENSG00000197208,0.363,0.323,0.04,7569,0.595,0.0,0.2605042014617612,1051
OR52B4,ENSG00000221996,-9.966,-9.966,0.0,18,0.0,0.0,0.2605042014617612,1052
OR52Z1,ENSG00000176748,-9.966,-9.966,0.0,1,0.0,0.0,0.2605042014617612,1053
TMEM245,ENSG00000106771,3.808,3.793,0.01,7830,0.999,0.0,0.2605042014617612,1054
OR10AG1,ENSG00000174970,-9.966,-9.966,0.0,10,0.0,0.0,0.2605042014617612,1055
OR11H7,ENSG00000258806,-4.608,-4.035,-0.57,2751,0.012,-0.0,0.2605042014617612,1056
PCDHB13,ENSG00000187372,-0.338,-0.413,0.07,6941,0.404,0.0,0.2605042014617612,1057
OR6C3,ENSG00000205329,-9.966,-9.966,0.0,10,0.0,0.0,0.2605042014617612,1058
MC3R,ENSG00000124089,-9.966,-9.966,0.0,164,0.003,0.0,0.2605042014617612,1059
DYNAP,ENSG00000178690,-9.966,-9.966,0.0,680,0.026,0.0,0.2605042014617612,1060
OR5L2,ENSG00000205030,-9.966,-9.966,0.0,18,0.0,0.0,0.2605042014617612,1061
OR11H1,ENSG00000130538,-9.966,-9.966,0.0,62,0.0,0.0,0.2605042014617612,1062
OR2AJ1,ENSG00000177275,-9.966,-9.966,0.0,150,0.0,0.0,0.2605042014617612,1063
OR6B3,ENSG00000178586,-9.966,-9.966,0.0,696,0.001,0.0,0.2605042014617612,1064
OR6J1,ENSG00000255804,-9.966,-9.966,0.0,37,0.0,0.0,0.2605042014617612,1065
ASGR2,ENSG00000161944,-1.392,-1.181,-0.21,6345,0.182,-0.0,0.2605042014617612,1066
KIR3DL3,ENSG00000242019,-9.966,-9.966,0.0,40,0.001,0.0,0.2605042014617612,1067
OR5AR1,ENSG00000172459,-9.966,-9.966,0.0,2,0.0,0.0,0.2605042014617612,1068
OR11G2,ENSG00000196832,-9.966,-9.966,0.0,51,0.0,0.0,0.2605042014617612,1069
HRH4,ENSG00000134489,-5.574,-4.608,-0.97,1228,0.0,-0.0,0.2605042014617612,1070
TMEM225,ENSG00000204300,-9.966,-9.966,0.0,176,0.0,0.0,0.2605042014617612,1071
GPR33,ENSG00000214943,-9.966,-9.966,0.0,43,0.001,0.0,0.2605042014617612,1072
SV2C,ENSG00000122012,-4.608,-4.293,-0.31,2641,0.049,-0.0,0.2605042014617612,1073
PCDHA9,ENSG00000204961,-6.506,-6.506,0.0,884,0.012,0.0,0.2605042014617612,1074
GPR176,ENSG00000166073,1.911,1.949,-0.04,7477,0.871,-0.0,0.2605042014617612,1075
TMIGD1,ENSG00000182271,-9.966,-9.966,0.0,360,0.019,0.0,0.2605042014617612,1076
GALR2,ENSG00000182687,-3.458,-3.816,0.36,2621,0.039,0.0,0.2605042014617612,1077
ZP2,ENSG00000103310,-9.966,-9.966,0.0,743,0.007,0.0,0.2605042014617612,1078
OR5H14,ENSG00000236032,-9.966,-9.966,0.0,72,0.0,0.0,0.2605042014617612,1079
OR5AN1,ENSG00000176495,-9.966,-9.966,0.0,14,0.0,0.0,0.2605042014617612,1080
CATSPERG,ENSG00000099338,0.934,0.934,0.0,7723,0.755,0.0,0.2605042014617612,1081
SLC36A1,ENSG00000123643,1.911,1.896,0.02,7832,0.937,0.0,0.2605042014617612,1082
SLC38A5,ENSG00000017483,3.261,3.296,-0.03,7802,0.884,-0.0,0.2605042014617612,1083
KCNG4,ENSG00000168418,-9.966,-9.966,0.0,750,0.02,0.0,0.2605042014617612,1084
NAGPA,ENSG00000103174,3.162,3.121,0.04,7834,1.0,0.0,0.2605042014617612,1085
OR4F15,ENSG00000182854,-9.966,-9.966,0.0,26,0.0,0.0,0.2605042014617612,1086
CHRNG,ENSG00000196811,-6.506,-6.506,0.0,804,0.021,0.0,0.2605042014617612,1087
LRIT3,ENSG00000183423,-3.816,-2.245,-1.57,5629,0.004,-0.0,0.2605042014617612,1088
MRGPRX1,ENSG00000170255,-9.966,-9.966,0.0,85,0.003,0.0,0.2605042014617612,1089
OR52D1,ENSG00000181609,-9.966,-9.966,0.0,357,0.0,0.0,0.2605042014617612,1090
OR6C74,ENSG00000197706,-9.966,-9.966,0.0,28,0.0,0.0,0.2605042014617612,1091
NMBR,ENSG00000135577,-5.574,-5.574,0.0,1244,0.001,0.0,0.2605042014617612,1092
GLRA1,ENSG00000145888,-9.966,-9.966,0.0,489,0.01,0.0,0.2605042014617612,1093
OR13C6P,ENSG00000179443,-9.966,-9.966,0.0,131,0.0,0.0,0.2605042014617612,1094
MTNR1B,ENSG00000134640,-9.966,-9.966,0.0,375,0.009,0.0,0.2605042014617612,1095
OR1E3,ENSG00000142163,-9.966,-9.966,0.0,26,0.0,0.0,0.2605042014617612,1096
OR1G1,ENSG00000183024,-9.966,-9.966,0.0,114,0.0,0.0,0.2605042014617612,1097
SLC20A2,ENSG00000168575,4.63,4.612,0.02,7831,1.0,0.0,0.2605042014617612,1098
PCDHA7,ENSG00000204963,-3.047,-3.171,0.12,3708,0.065,0.0,0.2605042014617612,1099
GNRHR,ENSG00000109163,-4.608,-4.035,-0.57,1959,0.006,-0.0,0.2605042014617612,1100
OR8K1,ENSG00000150261,-9.966,-9.966,0.0,13,0.0,0.0,0.2605042014617612,1101
MAS1L,ENSG00000204687,-9.966,-9.966,0.0,1759,0.001,0.0,0.2605042014617612,1102
TAS2R16,ENSG00000128519,-9.966,-9.966,0.0,13,0.0,0.0,0.2605042014617612,1103
OR51B6,ENSG00000176239,-9.966,-9.966,0.0,114,0.0,0.0,0.2605042014617612,1104
OR2C3,ENSG00000196242,-9.966,-9.966,0.0,236,0.001,0.0,0.2605042014617612,1105
OR4A4P,ENSG00000254769,-9.966,-9.966,0.0,6,0.0,0.0,0.2605042014617612,1106
OR14C36,ENSG00000177174,-9.966,-9.966,0.0,68,0.0,0.0,0.2605042014617612,1107
DCHS2,ENSG00000197410,-3.047,-3.047,0.0,3864,0.109,0.0,0.2605042014617612,1108
OR2J1,ENSG00000204702,-9.966,-9.966,0.0,6,0.0,0.0,0.2605042014617612,1109
OR1N2,ENSG00000171501,-9.966,-9.966,0.0,37,0.0,0.0,0.2605042014617612,1110
OR4C15,ENSG00000181939,-9.966,-9.966,0.0,9,0.0,0.0,0.2605042014617612,1111
CLDN20,ENSG00000171217,-3.816,-2.826,-0.99,4460,0.028,-0.0,0.2605042014617612,1112
CD69,ENSG00000110848,1.368,1.34,0.03,7181,0.762,0.0,0.2605042014617612,1113
OR5T1,ENSG00000181698,-9.966,-9.966,0.0,13,0.0,0.0,0.2605042014617612,1114
OR2J2,ENSG00000204700,-9.966,-9.966,0.0,197,0.0,0.0,0.2605042014617612,1115
GABRA6,ENSG00000145863,-9.966,-9.966,0.0,1373,0.001,0.0,0.2605042014617612,1116
OR4F21,ENSG00000176269,-9.966,-9.966,0.0,695,0.0,0.0,0.2605042014617612,1117
OR2F2,ENSG00000221910,-9.966,-9.966,0.0,92,0.0,0.0,0.2605042014617612,1118
OR5V1,ENSG00000243729,-9.966,-9.966,0.0,161,0.0,0.0,0.2605042014617612,1119
OR2Y1,ENSG00000174339,-9.966,-9.966,0.0,4,0.0,0.0,0.2605042014617612,1120
OR1D4,ENSG00000255095,-9.966,-9.966,0.0,87,0.0,0.0,0.2605042014617612,1121
ATP1B4,ENSG00000101892,-9.966,-9.966,0.0,559,0.012,0.0,0.2605042014617612,1122
ALPI,ENSG00000163295,-9.966,-9.966,0.0,317,0.078,0.0,0.2605042014617612,1123
CD40,ENSG00000101017,3.752,3.779,-0.03,7834,0.993,-0.0,0.2605042014617612,1124
OR56A5,ENSG00000188691,-9.966,-9.966,0.0,111,0.001,0.0,0.2605042014617612,1125
OR6K2,ENSG00000196171,-9.966,-9.966,0.0,8,0.0,0.0,0.2605042014617612,1126
OR6X1,ENSG00000221931,-9.966,-9.966,0.0,30,0.0,0.0,0.2605042014617612,1127
OR10C1,ENSG00000206474,-9.966,-9.966,0.0,16,0.0,0.0,0.2605042014617612,1128
OR52E2,ENSG00000176787,-9.966,-9.966,0.0,19,0.001,0.0,0.2605042014617612,1129
ECE1,ENSG00000117298,5.466,5.432,0.03,7835,1.0,0.0,0.2605042014617612,1130
OR5H1,ENSG00000231192,-9.966,-9.966,0.0,18,0.0,0.0,0.2605042014617612,1131
OR7A17,ENSG00000185385,-9.966,-9.966,0.0,4,0.0,0.0,0.2605042014617612,1132
OR5L1,ENSG00000279395,-9.966,-9.966,0.0,8,0.0,0.0,0.2605042014617612,1133
OR52L2P,ENSG00000262980,-9.966,-9.966,0.0,134,0.0,0.0,0.2605042014617612,1134
OR51A2,ENSG00000205496,-9.966,-9.966,0.0,8,0.0,0.0,0.2605042014617612,1135
OR5C1,ENSG00000148215,-9.966,-9.966,0.0,102,0.001,0.0,0.2605042014617612,1136
OR52E4,ENSG00000180974,-9.966,-9.966,0.0,75,0.0,0.0,0.2605042014617612,1137
LY6G6D,ENSG00000244355,-9.966,-9.966,0.0,3058,0.098,0.0,0.2605042014617612,1138
OR4K3,ENSG00000176290,-9.966,-9.966,0.0,8,0.0,0.0,0.2605042014617612,1139
VN1R3,ENSG00000180663,-9.966,-9.966,0.0,168,0.0,0.0,0.2605042014617612,1140
HCRTR2,ENSG00000137252,-9.966,-9.966,0.0,737,0.01,0.0,0.2605042014617612,1141
TMEM114,ENSG00000232258,-9.966,-9.966,0.0,1056,0.027,0.0,0.2605042014617612,1142
OR6P1,ENSG00000186440,-9.966,-9.966,0.0,5,0.0,0.0,0.2605042014617612,1143
OR10G8,ENSG00000234560,-9.966,-9.966,0.0,12,0.0,0.0,0.2605042014617612,1144
OR10J6P,ENSG00000158731,-9.966,-9.966,0.0,195,0.018,0.0,0.2605042014617612,1145
PROCR,ENSG00000101000,3.584,3.549,0.04,7749,0.988,0.0,0.2605042014617612,1146
RAET1E,ENSG00000164520,-1.781,-1.781,0.0,5511,0.243,0.0,0.2605042014617612,1147
OR51F2,ENSG00000176925,-9.966,-9.966,0.0,19,0.0,0.0,0.2605042014617612,1148
OR10K1,ENSG00000173285,-9.966,-9.966,0.0,5,0.0,0.0,0.2605042014617612,1149
OR2A5,ENSG00000221836,-9.966,-9.966,0.0,135,0.0,0.0,0.2605042014617612,1150
OR8K5,ENSG00000181752,-9.966,-9.966,0.0,10,0.0,0.0,0.2605042014617612,1151
PCDHA8,ENSG00000204962,-4.608,-5.574,0.97,1487,0.016,0.0,0.2605042014617612,1152
OR5M3,ENSG00000174937,-9.966,-9.966,0.0,15,0.0,0.0,0.2605042014617612,1153
THSD7B,ENSG00000144229,-2.826,-2.635,-0.19,4315,0.103,-0.0,0.2605042014617612,1154
PCDHA13,ENSG00000239389,-4.035,-4.293,0.26,2562,0.089,0.0,0.2605042014617612,1155
OR2T4,ENSG00000196944,-9.966,-9.966,0.0,73,0.001,0.0,0.2605042014617612,1156
ZNRF4,ENSG00000105428,-9.966,-9.966,0.0,437,0.0,0.0,0.2605042014617612,1157
OR2L2,ENSG00000203663,-9.966,-9.966,0.0,815,0.002,0.0,0.2605042014617612,1158
OR6C68,ENSG00000205327,-9.966,-9.966,0.0,12,0.0,0.0,0.2605042014617612,1159
OPRM1,ENSG00000112038,-9.966,-9.966,0.0,846,0.011,0.0,0.2605042014617612,1160
OR8B12,ENSG00000170953,-9.966,-9.966,0.0,142,0.0,0.0,0.2605042014617612,1161
OR2M7,ENSG00000177186,-9.966,-9.966,0.0,40,0.0,0.0,0.2605042014617612,1162
TAS1R3,ENSG00000169962,-1.732,-1.781,0.05,6674,0.172,0.0,0.2605042014617612,1163
GHSR,ENSG00000121853,-9.966,-9.966,0.0,315,0.002,0.0,0.2605042014617612,1164
OR4A16,ENSG00000181961,-9.966,-9.966,0.0,36,0.001,0.0,0.2605042014617612,1165
OR51J1,ENSG00000184321,-9.966,-9.966,0.0,212,0.001,0.0,0.2605042014617612,1166
OR4E2,ENSG00000221977,-9.966,-9.966,0.0,37,0.0,0.0,0.2605042014617612,1167
OR52A1,ENSG00000182070,-9.966,-9.966,0.0,34,0.0,0.0,0.2605042014617612,1168
OR9Q1,ENSG00000186509,-9.966,-9.966,0.0,8,0.0,0.0,0.2605042014617612,1169
DSCAM,ENSG00000171587,-6.506,-6.506,0.0,1668,0.083,0.0,0.2605042014617612,1170
TYR,ENSG00000077498,-9.966,-9.966,0.0,871,0.023,0.0,0.2605042014617612,1171
OR1D2,ENSG00000184166,-9.966,-9.966,0.0,156,0.0,0.0,0.2605042014617612,1172
GRIN3A,ENSG00000198785,-3.171,-3.047,-0.12,3619,0.065,-0.0,0.2605042014617612,1173
PRTG,ENSG00000166450,-1.732,-1.639,-0.09,6017,0.244,-0.0,0.2605042014617612,1174
CCR9,ENSG00000173585,-5.574,-5.012,-0.56,1279,0.02,-0.0,0.2605042014617612,1175
OR10A4,ENSG00000170782,-9.966,-9.966,0.0,114,0.0,0.0,0.2605042014617612,1176
SLC5A2,ENSG00000140675,-1.639,-1.51,-0.13,6094,0.191,-0.0,0.2605042014617612,1177
ADAM29,ENSG00000168594,-6.506,-6.506,0.0,1146,0.009,0.0,0.2605042014617612,1178
GPR142,ENSG00000257008,-6.506,-4.608,-1.9,2055,0.007,-0.0,0.2605042014617612,1179
KDR,ENSG00000128052,2.269,2.278,-0.01,7343,0.922,-0.0,0.2605042014617612,1180
RELL1,ENSG00000181826,1.832,1.828,0.0,7824,0.853,0.0,0.2605042014617612,1181
OR4C3,ENSG00000176547,-9.966,-9.966,0.0,33,0.0,0.0,0.2605042014617612,1182
TAS2R10,ENSG00000121318,-4.035,-2.932,-1.1,4247,0.002,-0.0,0.2605042014617612,1183
OR4C46,ENSG00000185926,-9.966,-9.966,0.0,9,0.0,0.0,0.2605042014617612,1184
LRRC52,ENSG00000162763,-9.966,-9.966,0.0,860,0.021,0.0,0.2605042014617612,1185
PRSS41,ENSG00000215148,-9.966,-9.966,0.0,328,0.024,0.0,0.2605042014617612,1186
OR2G3,ENSG00000177476,-9.966,-9.966,0.0,46,0.001,0.0,0.2605042014617612,1187
KLRC3,ENSG00000205810,-4.035,-4.035,0.0,3043,0.075,0.0,0.2605042014617612,1188
OR2AG2,ENSG00000188124,-9.966,-9.966,0.0,301,0.0,0.0,0.2605042014617612,1189
OR1S1,ENSG00000280204,-9.966,-9.966,0.0,1,0.0,0.0,0.2605042014617612,1190
OR2J3,ENSG00000204701,-9.966,-9.966,0.0,203,0.0,0.0,0.2605042014617612,1191
LIM2,ENSG00000105370,-9.966,-9.966,0.0,433,0.02,0.0,0.2605042014617612,1192
OR52E5,ENSG00000277932,-9.966,-9.966,0.0,58,0.0,0.0,0.2605042014617612,1193
ROS1,ENSG00000047936,-6.506,-6.506,0.0,1250,0.127,0.0,0.2605042014617612,1194
OR8D2,ENSG00000279116,-9.966,-9.966,0.0,40,0.0,0.0,0.2605042014617612,1195
LRTM2,ENSG00000166159,-6.506,-6.506,0.0,1562,0.065,0.0,0.2605042014617612,1196
OR10J5,ENSG00000184155,-9.966,-9.966,0.0,27,0.0,0.0,0.2605042014617612,1197
OR2L3,ENSG00000198128,-9.966,-9.966,0.0,585,0.0,0.0,0.2605042014617612,1198
OR51B2,ENSG00000279012,-9.966,-9.966,0.0,89,0.0,0.0,0.2605042014617612,1199
RRH,ENSG00000180245,-3.816,-3.308,-0.51,3396,0.004,-0.0,0.2605042014617612,1200
PCDHA6,ENSG00000081842,-3.171,-3.171,0.0,3530,0.14,0.0,0.2605042014617612,1201
OR6B1,ENSG00000221813,-9.966,-9.966,0.0,150,0.0,0.0,0.2605042014617612,1202
SLC16A5,ENSG00000170190,2.462,2.491,-0.03,7716,0.848,-0.0,0.2605042014617612,1203
OR5AP2,ENSG00000172464,-9.966,-9.966,0.0,16,0.0,0.0,0.2605042014617612,1204
KIR2DL1,ENSG00000125498,-5.574,-5.574,0.0,1341,0.007,0.0,0.2605042014617612,1205
CLDN22,ENSG00000177300,-9.966,-9.966,0.0,2293,0.056,0.0,0.2605042014617612,1206
OR9A4,ENSG00000258083,-9.966,-9.966,0.0,83,0.002,0.0,0.2605042014617612,1207
IL5RA,ENSG00000091181,-3.626,-3.308,-0.32,3360,0.068,-0.0,0.2605042014617612,1208
HCRTR1,ENSG00000121764,-5.574,-3.816,-1.76,2923,0.008,-0.0,0.2605042014617612,1209
OR51I2,ENSG00000187918,-9.966,-9.966,0.0,146,0.0,0.0,0.2605042014617612,1210
SSTR4,ENSG00000132671,-9.966,-9.966,0.0,787,0.002,0.0,0.2605042014617612,1211
OR4K15,ENSG00000169488,-9.966,-9.966,0.0,8,0.0,0.0,0.2605042014617612,1212
OR4D10,ENSG00000254466,-9.966,-9.966,0.0,27,0.011,0.0,0.2605042014617612,1213
OR52J3,ENSG00000205495,-9.966,-9.966,0.0,5,0.0,0.0,0.2605042014617612,1214
CLRN2,ENSG00000249581,-9.966,-9.966,0.0,148,0.0,0.0,0.2605042014617612,1215
BTN1A1,ENSG00000124557,-5.574,-5.574,0.0,613,0.01,0.0,0.2605042014617612,1216
FPR2,ENSG00000171049,-2.178,-2.245,0.07,4962,0.178,0.0,0.2605042014617612,1217
HTR6,ENSG00000158748,-5.574,-5.574,0.0,985,0.026,0.0,0.2605042014617612,1218
OR2B3,ENSG00000204703,-9.966,-9.966,0.0,28,0.0,0.0,0.2605042014617612,1219
MSLNL,ENSG00000162006,-9.966,-9.966,0.0,1283,0.05,0.0,0.2605042014617612,1220
SLCO2B1,ENSG00000137491,3.674,3.662,0.01,7581,0.975,0.0,0.2605042014617612,1221
TSHR,ENSG00000165409,-2.548,-2.727,0.18,4274,0.157,0.0,0.2605042014617612,1222
OR6M1,ENSG00000196099,-9.966,-9.966,0.0,272,0.0,0.0,0.2605042014617612,1223
OR52W1,ENSG00000175485,-9.966,-9.966,0.0,210,0.0,0.0,0.2605042014617612,1224
OR6S1,ENSG00000181803,-9.966,-9.966,0.0,148,0.0,0.0,0.2605042014617612,1225
OR10G3,ENSG00000169208,-9.966,-9.966,0.0,118,0.0,0.0,0.2605042014617612,1226
OR7G2,ENSG00000170923,-9.966,-9.966,0.0,12,0.001,0.0,0.2605042014617612,1227
OR9A2,ENSG00000179468,-9.966,-9.966,0.0,145,0.0,0.0,0.2605042014617612,1228
OR4D2,ENSG00000255713,-9.966,-9.966,0.0,22,0.0,0.0,0.2605042014617612,1229
OR4N4,ENSG00000183706,-9.966,-9.966,0.0,217,0.005,0.0,0.2605042014617612,1230
OR51F1,ENSG00000280021,-9.966,-9.966,0.0,24,0.0,0.0,0.2605042014617612,1231
OR2L5,ENSG00000197454,-9.966,-9.966,0.0,193,0.0,0.0,0.2605042014617612,1232
EQTN,ENSG00000120160,-4.608,-3.626,-0.98,3236,0.0,-0.0,0.2605042014617612,1233
SLC37A3,ENSG00000157800,4.237,4.238,-0.0,7835,0.999,-0.0,0.2605042014617612,1234
OR3A2,ENSG00000221882,-9.966,-9.966,0.0,1311,0.02,0.0,0.2605042014617612,1235
OR5A1,ENSG00000172320,-9.966,-9.966,0.0,72,0.0,0.0,0.2605042014617612,1236
SIGLEC5,ENSG00000268500,-9.966,-9.966,0.0,1702,0.011,0.0,0.2605042014617612,1237
NPSR1,ENSG00000187258,-9.966,-9.966,0.0,348,0.066,0.0,0.2605042014617612,1238
